issue_number	node_id	former_url	source_state	raw_sha256	governed_destination	architecture_coverage	local_status	cutover_action	merged_commit
69	I_kwDOONYVBs8AAAABCganHw	https://github.com/pdomain/pdomain-book-tools/issues/69	CLOSED	fcbfb77f96229503747a7f7513e9697150081dec20201ab01cea3f1432485abd	This ledger; immutable raw export; meta-repository cross-cut tracking	The groom-skill skeleton belongs to cross-cut skill tooling; commit `cc783c5` confirms the later tracking destination	Superseded by meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-005	6842ec6b11c06c9b987b384b4abf7e9dc4699014
70	I_kwDOONYVBs8AAAABCganYQ	https://github.com/pdomain/pdomain-book-tools/issues/70	CLOSED	e1669656401cee38d52686939e0ed6dcf8560dbb359d714e81bf2e94fa6c91c1	This ledger; immutable raw export; meta-repository cross-cut tracking	The groom-auto test suite belongs to cross-cut workflow tooling and was explicitly migrated; no local implementation claim	Superseded by meta-repository tracking	Deleted and verified; deletion journal completed-005	6842ec6b11c06c9b987b384b4abf7e9dc4699014
71	I_kwDOONYVBs8AAAABCgandw	https://github.com/pdomain/pdomain-book-tools/issues/71	CLOSED	36f2fe97c2540c5f37a5ea76f7f0575373853c69a6aca91b5a885f990a5d9487	This ledger; immutable raw export; meta-repository cross-cut tracking	The groom-auto script belongs to cross-cut workflow tooling and was explicitly migrated; no local implementation claim	Superseded by meta-repository tracking	Deleted and verified; deletion journal completed-005	6842ec6b11c06c9b987b384b4abf7e9dc4699014
72	I_kwDOONYVBs8AAAABCganlQ	https://github.com/pdomain/pdomain-book-tools/issues/72	CLOSED	2e2399aaf03a39d21ca305b76629b4f0b0f1aad04cf23022099e40a2f0083508	This ledger; immutable raw export; meta-repository cross-cut tracking	The coding-bot workflow and nightly schedule belong to cross-cut workflow tooling and were explicitly migrated; no local implementation claim	Superseded by meta-repository tracking	Deleted and verified; deletion journal completed-005	6842ec6b11c06c9b987b384b4abf7e9dc4699014
73	I_kwDOONYVBs8AAAABCgansA	https://github.com/pdomain/pdomain-book-tools/issues/73	CLOSED	c4e4fcb59cd1a7ec42af525d0d214916f55c5a2051c2fa87e6bbcef3f073716a	This ledger; immutable raw export; meta-repository cross-cut tracking	The groom skill belongs to cross-cut workflow tooling and was explicitly migrated; no local implementation claim	Superseded by meta-repository tracking	Deleted and verified; deletion journal completed-006	6842ec6b11c06c9b987b384b4abf7e9dc4699014
74	I_kwDOONYVBs8AAAABCganvw	https://github.com/pdomain/pdomain-book-tools/issues/74	CLOSED	98786c5969aadf70c34c1a5dc406bb5a3e6ad857315eeef04f3191b268fe8ff0	This ledger; immutable raw export; meta-repository cross-cut tracking	The recurring grooming chore belongs to cross-cut workflow tracking and was explicitly migrated; no local implementation claim	Superseded by meta-repository tracking	Deleted and verified; deletion journal completed-006	6842ec6b11c06c9b987b384b4abf7e9dc4699014
75	I_kwDOONYVBs8AAAABCgbXaQ	https://github.com/pdomain/pdomain-book-tools/issues/75	CLOSED	f68ba6d89febf4f08ba6e68e07c3c922d0f7229f20ac64dc37680cad6e4146d5	This ledger; [repository quality gates](../process/repository-quality-gates.md); `docs/architecture/type-checking.md`	The canonical stack shipped across child issues #79 through #86; current process and strict type-checking architecture supersede the initial rollout contract	Implemented; reference commit `f809701` and child commits	Deleted and verified; deletion journal completed-006	6842ec6b11c06c9b987b384b4abf7e9dc4699014
76	I_kwDOONYVBs8AAAABCgbXiQ	https://github.com/pdomain/pdomain-book-tools/issues/76	CLOSED	d4423a93abcf698225164542fd5cb755d17a057cad24423f483bc1589bca7cef	This ledger; `docs/architecture/ocr-model-and-schema-boundaries.md`; model hooks, schema CLI, and tests	Pydantic core schemas cover Point, BoundingBox, Character, Word, Block, and Page; the public schema emitter remains implemented	Implemented; commits `d973b91` through `ca84058`, `6377cc4`, and `d6ad9d2`	Deleted and verified; deletion journal completed-006	6842ec6b11c06c9b987b384b4abf7e9dc4699014
77	I_kwDOONYVBs8AAAABCgbZAw	https://github.com/pdomain/pdomain-book-tools/issues/77	CLOSED	2da2187bd0a3ad5b0cb015e19811f6e29d49a2eb76181636eb0c7e79a09baee1	docs/issues/2026-05-17-gh-077-workspace-agent-definitions.md	The completion comment names two workspace agent files, but this repository cannot verify their current contents or routing	Needs owner decision; governed record remains active	Deleted and verified; retained-001	66a71c7ac05589428c98995508e2639e4e95642c
78	I_kwDOONYVBs8AAAABCgbZJQ	https://github.com/pdomain/pdomain-book-tools/issues/78	CLOSED	0fa9aa67947d649c97ebbea57491674022af0a14b3ec54fdc5a1cee2c304c9c6	This ledger; immutable raw export; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The shared React and TypeScript library belongs to the external `pd-ui` repository and is explicitly tracked in the meta repository	Superseded by external repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-006	6842ec6b11c06c9b987b384b4abf7e9dc4699014
79	I_kwDOONYVBs8AAAABCgb9Zw	https://github.com/pdomain/pdomain-book-tools/issues/79	CLOSED	a14c85034838fc509807ba925c143171bdf5e83e6d22bbb79d59025bf5449db5	This ledger; [repository quality gates](../process/repository-quality-gates.md); `docs/architecture/type-checking.md`; configuration and Makefile	The Pyright-to-basedpyright migration shipped in standard and then recommended mode; current strict zero-diagnostic architecture supersedes both	Implemented; commits `4ab7a93` and `f809701`; later strengthened	Deleted and verified; deletion journal completed-006	6842ec6b11c06c9b987b384b4abf7e9dc4699014
80	I_kwDOONYVBs8AAAABCgb9fg	https://github.com/pdomain/pdomain-book-tools/issues/80	CLOSED	5319e06323c29eff144ab81e1db098643c5a2a66c5ab9d5397a9e2b5e0575a60	This ledger; [repository quality gates](../process/repository-quality-gates.md); `.editorconfig`	The canonical editor configuration remains present	Implemented; commit `cbaa74a`	Deleted and verified; deletion journal completed-006	6842ec6b11c06c9b987b384b4abf7e9dc4699014
81	I_kwDOONYVBs8AAAABCgb9jw	https://github.com/pdomain/pdomain-book-tools/issues/81	CLOSED	cc20ed3a92dcc155e18a901599fa0d053a129245cdab94f76d7bf9999182b47d	This ledger; [repository quality gates](../process/repository-quality-gates.md); development dependencies	Standalone isort and pylint were removed; Ruff owns their adopted lint functions	Implemented; commit `bd0de40`	Deleted and verified; deletion journal completed-006	6842ec6b11c06c9b987b384b4abf7e9dc4699014
82	I_kwDOONYVBs8AAAABCgb9ow	https://github.com/pdomain/pdomain-book-tools/issues/82	CLOSED	393485f39bce81cb61124ad2927dbe488b0d330cd7c9eca2c3baf4852369e8a9	This ledger; [repository quality gates](../process/repository-quality-gates.md); `.pre-commit-config.yaml`	Gitleaks, file checks, debug detection, uv-lock checking, and the basedpyright hook remain configured	Implemented; commit `4a59ff2`; hook later strengthened	Deleted and verified; deletion journal completed-006	6842ec6b11c06c9b987b384b4abf7e9dc4699014
83	I_kwDOONYVBs8AAAABCgb9tQ	https://github.com/pdomain/pdomain-book-tools/issues/83	CLOSED	88b05397084a420e70526e9d4d084b324685a216a079a29f77d0d950a3d621c3	This ledger; [repository quality gates](../process/repository-quality-gates.md); `.gitlint`; pre-commit configuration	Gitlint remains installed on the commit-message stage	Implemented; commit `b742231`	Deleted and verified; deletion journal completed-006	6842ec6b11c06c9b987b384b4abf7e9dc4699014
84	I_kwDOONYVBs8AAAABCgb90A	https://github.com/pdomain/pdomain-book-tools/issues/84	CLOSED	b6c9cd90dafecd00d47175e1fcff6c02ce55c68c231f1ad7a994e2fb93f9cd7a	This ledger; [repository quality gates](../process/repository-quality-gates.md); Ruff configuration	The canonical Ruff selection and its dependency update shipped; current `pyproject.toml` owns the exact rule set	Implemented; commit `c500d91`	Deleted and verified; deletion journal completed-007	6842ec6b11c06c9b987b384b4abf7e9dc4699014
85	I_kwDOONYVBs8AAAABCgb97g	https://github.com/pdomain/pdomain-book-tools/issues/85	CLOSED	a0ba77b7210b50d8bec7751cf4f053ba0f81aab4c5c5bde88fc113928bcf3d2d	This ledger; [repository quality gates](../process/repository-quality-gates.md); pytest configuration	Pytest treats warnings as errors and measures branch coverage	Implemented; commit `2e11974`	Deleted and verified; deletion journal completed-007	6842ec6b11c06c9b987b384b4abf7e9dc4699014
86	I_kwDOONYVBs8AAAABCgb-Aw	https://github.com/pdomain/pdomain-book-tools/issues/86	CLOSED	7ec219034dde610274342ef3d42342583c7a43d1857c79820619132a9e425069	This ledger; `docs/architecture/type-checking.md`; [repository quality gates](../process/repository-quality-gates.md)	Basedpyright recommended mode and CI integration shipped; current strict zero-diagnostic mode supersedes the initial level	Implemented; commit `f809701`; later strengthened	Deleted and verified; deletion journal completed-007	6842ec6b11c06c9b987b384b4abf7e9dc4699014
87	I_kwDOONYVBs8AAAABCgb-QQ	https://github.com/pdomain/pdomain-book-tools/issues/87	CLOSED	c7e47a18a8db146c751b0a9f581c9816ad21673b9d11076afa7ea8ea50d807c6	This ledger; `docs/architecture/ocr-model-and-schema-boundaries.md`; Point hook, shared helpers, and tests	Point exposes its Pydantic core schema; the shared schema helpers introduced in the same slice remain used	Implemented; commit `d973b91`	Deleted and verified; deletion journal completed-007	6842ec6b11c06c9b987b384b4abf7e9dc4699014
88	I_kwDOONYVBs8AAAABCgb-XA	https://github.com/pdomain/pdomain-book-tools/issues/88	CLOSED	e56112bf8ba4e3e295797438273c07fae115eb70eb571c7b03887020aeeea910	This ledger; `docs/architecture/ocr-model-and-schema-boundaries.md`; BoundingBox hook and tests	BoundingBox exposes its Pydantic core schema; shared helpers had already landed with #87	Implemented; commit `6f7c620`	Deleted and verified; deletion journal completed-007	6842ec6b11c06c9b987b384b4abf7e9dc4699014
89	I_kwDOONYVBs8AAAABCgb-dw	https://github.com/pdomain/pdomain-book-tools/issues/89	CLOSED	89e46c9f1e2aeca587eb5b34e5b71c46414c895f1498b0b89077da4ecc5b555f	This ledger; `docs/architecture/ocr-model-and-schema-boundaries.md`; Character hook and tests	Character exposes the wire-shape Pydantic core schema used by public schema emission	Implemented; commit `9f9fabd`	Deleted and verified; deletion journal completed-007	6842ec6b11c06c9b987b384b4abf7e9dc4699014
90	I_kwDOONYVBs8AAAABCgb-iw	https://github.com/pdomain/pdomain-book-tools/issues/90	CLOSED	c76338dd5886ae852926c17c004f68a5204c593cd1aa5de1d35313bc8d02586b	This ledger; `docs/architecture/ocr-model-and-schema-boundaries.md`; Word hook and tests	Word exposes its Pydantic core schema for public schema emission	Implemented; commit `6eb07ad`	Deleted and verified; deletion journal completed-007	6842ec6b11c06c9b987b384b4abf7e9dc4699014
91	I_kwDOONYVBs8AAAABCgb-oQ	https://github.com/pdomain/pdomain-book-tools/issues/91	CLOSED	897d31f4807beebdb99dad7f1ce3606ec577d88620ec01b3209fd2caec5bb488	This ledger; `docs/architecture/ocr-model-and-schema-boundaries.md`; Block hook and tests	Block exposes its Pydantic core schema for public schema emission	Implemented; commit `4d7fa3a`	Deleted and verified; deletion journal completed-007	6842ec6b11c06c9b987b384b4abf7e9dc4699014
92	I_kwDOONYVBs8AAAABCgb-uQ	https://github.com/pdomain/pdomain-book-tools/issues/92	CLOSED	57cff67b7ce11e8626b8f02a8d9fd9bcc0a960f1fd218ec6c1e9f515f611a0aa	This ledger; `docs/architecture/ocr-model-and-schema-boundaries.md`; Page hook and tests	Page exposes its Pydantic core schema while respecting its serialization boundary	Implemented; commit `ca84058`	Deleted and verified; deletion journal completed-007	6842ec6b11c06c9b987b384b4abf7e9dc4699014
93	I_kwDOONYVBs8AAAABCgb-zA	https://github.com/pdomain/pdomain-book-tools/issues/93	CLOSED	2f6609bacd092dc347559ffcc49df9d7504b292cb3c3c2d81f7dd9bcd90ff11e	This ledger; `docs/architecture/ocr-model-and-schema-boundaries.md`; schema emitter and tests	`PUBLIC_MODELS` again covers the full public model set, and tests prevent narrowing	Implemented; commit `d6ad9d2`	Deleted and verified; deletion journal completed-007	6842ec6b11c06c9b987b384b4abf7e9dc4699014
94	I_kwDOONYVBs8AAAABCgcJZQ	https://github.com/pdomain/pdomain-book-tools/issues/94	CLOSED	98293c518f692545b519272d981449923c06a60fc8446a6c82d7b0006cdb9826	docs/issues/2026-05-17-gh-094-pd-ui-agent-definition.md	The full-power `pd-ui` agent is an external workspace artifact absent here	Needs owner decision; governed record remains active	Deleted and verified; retained-001	66a71c7ac05589428c98995508e2639e4e95642c
95	I_kwDOONYVBs8AAAABCgcJfQ	https://github.com/pdomain/pdomain-book-tools/issues/95	CLOSED	1a88aaa5197922c7f8acfa34b46d2b6ef1a3121837841c0726a5cda7196a9701	docs/issues/2026-05-17-gh-095-pd-ui-docs-agent-definition.md	The read-only Haiku `pd-ui-docs` agent is an external workspace artifact absent here	Needs owner decision; governed record remains active	Deleted and verified; retained-001	66a71c7ac05589428c98995508e2639e4e95642c
96	I_kwDOONYVBs8AAAABCgcJkA	https://github.com/pdomain/pdomain-book-tools/issues/96	CLOSED	b121ea1fb68ebcfdb26c694fd4fff648446b9d540c39c57fffe94708269db500	docs/issues/2026-05-17-gh-096-pd-ocr-ops-agent-definition.md	The full-power `pd-ocr-ops` agent is an external workspace artifact absent here	Needs owner decision; governed record remains active	Deleted and verified; retained-001	66a71c7ac05589428c98995508e2639e4e95642c
97	I_kwDOONYVBs8AAAABCgcJpQ	https://github.com/pdomain/pdomain-book-tools/issues/97	CLOSED	6d025564bf304b5b674fc9800a0b2cdfead6bd0541e41326b771fad676aa5edb	docs/issues/2026-05-17-gh-097-pd-ocr-ops-docs-agent-definition.md	The read-only Haiku `pd-ocr-ops-docs` agent is an external workspace artifact absent here	Needs owner decision; governed record remains active	Deleted and verified; retained-001	66a71c7ac05589428c98995508e2639e4e95642c
98	I_kwDOONYVBs8AAAABCgcJxQ	https://github.com/pdomain/pdomain-book-tools/issues/98	CLOSED	237aab0f102df336a7198638c1922b70620c97a3c4c47e6788a82cb1f0fbaa52	docs/issues/2026-05-17-gh-098-workspace-routing-table.md	The workspace `CLAUDE.md` routing update is external state absent here	Needs owner decision; governed record remains active	Deleted and verified; retained-001	66a71c7ac05589428c98995508e2639e4e95642c
99	I_kwDOONYVBs8AAAABCgcTrg	https://github.com/pdomain/pdomain-book-tools/issues/99	CLOSED	e8718ae16046cbda4f5e156b0cf5f6e9387ec6413323b215449e0896b7feaa82	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The `pd-ui` repository bootstrap belongs to external tracking, not this library	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-008	6842ec6b11c06c9b987b384b4abf7e9dc4699014
100	I_kwDOONYVBs8AAAABCgcTzw	https://github.com/pdomain/pdomain-book-tools/issues/100	CLOSED	41d8efb7748d74b94052262ddb7255a1d2ea37a04b962cc980c1a661268aded9	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The `pd-ui` package metadata belongs to the external repository plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-008	6842ec6b11c06c9b987b384b4abf7e9dc4699014
101	I_kwDOONYVBs8AAAABCgcT9Q	https://github.com/pdomain/pdomain-book-tools/issues/101	CLOSED	dff0c86cd6c1f5609f7a0819e9f89e0dcd42c04498c30198998cc6ac44fcc75a	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The strict TypeScript configuration belongs to the external repository plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-008	6842ec6b11c06c9b987b384b4abf7e9dc4699014
102	I_kwDOONYVBs8AAAABCgcUDw	https://github.com/pdomain/pdomain-book-tools/issues/102	CLOSED	1f1305e1d6eee51c27b485b54e5711410eb0044a032dbcc59d477e5b70c72da2	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The Vite library-mode build configuration belongs to the external repository plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-008	6842ec6b11c06c9b987b384b4abf7e9dc4699014
103	I_kwDOONYVBs8AAAABCgcUJA	https://github.com/pdomain/pdomain-book-tools/issues/103	CLOSED	f62160576568e14e642a95ca7bae3ef4dfa48620eb0e16319a328330ab94caf3	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The Vitest configuration belongs to the external repository plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-008	6842ec6b11c06c9b987b384b4abf7e9dc4699014
104	I_kwDOONYVBs8AAAABCgcUPQ	https://github.com/pdomain/pdomain-book-tools/issues/104	CLOSED	b3ac2cdb358b1dcfd114f276f62ab524eb1063a4882c90b8c21d36834db81bcc	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The ESLint flat configuration belongs to the external repository plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-008	6842ec6b11c06c9b987b384b4abf7e9dc4699014
105	I_kwDOONYVBs8AAAABCgcUUw	https://github.com/pdomain/pdomain-book-tools/issues/105	CLOSED	db1d03402eced2e9b7b1901912b7b127788a41ec285f78358cb7552bc2a1b1f0	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The `pd-ui` Makefile and CI gate belong to the external repository plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-008	6842ec6b11c06c9b987b384b4abf7e9dc4699014
106	I_kwDOONYVBs8AAAABCgcUZw	https://github.com/pdomain/pdomain-book-tools/issues/106	CLOSED	087bd3de9ae169ab9132f67864e8b30fb6cbd24f5c380f9ea34f99ebb86e88a2	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The first external commit and agent definitions belong to the `pd-ui` repository plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-008	6842ec6b11c06c9b987b384b4abf7e9dc4699014
107	I_kwDOONYVBs8AAAABCgcUgA	https://github.com/pdomain/pdomain-book-tools/issues/107	CLOSED	0f620e4b4d8452d7c44a8b8d1bbefc158f2b7c5cf98725ed63906eccc1efe344	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The copied theme tokens and primitives belong to the external repository plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-008	6842ec6b11c06c9b987b384b4abf7e9dc4699014
108	I_kwDOONYVBs8AAAABCgcUkg	https://github.com/pdomain/pdomain-book-tools/issues/108	CLOSED	a22d3a4924edab6ce327f9bcee561cce26a93be495d6f2862688766ecf3cf5b1	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The theme sync-back script belongs to the external repository plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-008	6842ec6b11c06c9b987b384b4abf7e9dc4699014
109	I_kwDOONYVBs8AAAABCgcUrA	https://github.com/pdomain/pdomain-book-tools/issues/109	CLOSED	cf72bef9461ccd2f614e7d2b9fabead3a960dd75e5c3ec9f3e4ba5ffe837a706	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The theme sync-invariant CI gate belongs to the external repository plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-009	6842ec6b11c06c9b987b384b4abf7e9dc4699014
110	I_kwDOONYVBs8AAAABCgcUzQ	https://github.com/pdomain/pdomain-book-tools/issues/110	CLOSED	3365df35af916e52245de7dd640e29bb23f9ec10280a274d6fc0bf50c8d1dbe0	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	Theme CSS package-subpath exports belong to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-009	6842ec6b11c06c9b987b384b4abf7e9dc4699014
111	I_kwDOONYVBs8AAAABCgcU6g	https://github.com/pdomain/pdomain-book-tools/issues/111	CLOSED	f748bad9706fd515713b1b8d75fdfe14cea7b36823eae2b1f54fae9db11b9dc8	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The primitives layout and class-name helper belong to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-009	6842ec6b11c06c9b987b384b4abf7e9dc4699014
112	I_kwDOONYVBs8AAAABCgcVBw	https://github.com/pdomain/pdomain-book-tools/issues/112	CLOSED	71510fa66cde92031696930db894ff6f8ff7561da60dd86fc3a17301bf290845	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The non-Radix primitive set belongs to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-009	6842ec6b11c06c9b987b384b4abf7e9dc4699014
113	I_kwDOONYVBs8AAAABCgcVIQ	https://github.com/pdomain/pdomain-book-tools/issues/113	CLOSED	6c2c002a705992689d11216d34b9833eba3eb7702609c1fbe4b952eb6174aad8	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The Radix-layered primitive set belongs to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-009	6842ec6b11c06c9b987b384b4abf7e9dc4699014
114	I_kwDOONYVBs8AAAABCgcVOw	https://github.com/pdomain/pdomain-book-tools/issues/114	CLOSED	d3fa5c36eca2e5404c6bf6088da422b6065b7110aa93d0514f6f14b591a5e270	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The primitives barrel and subpath export belong to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-009	6842ec6b11c06c9b987b384b4abf7e9dc4699014
115	I_kwDOONYVBs8AAAABCgcVUQ	https://github.com/pdomain/pdomain-book-tools/issues/115	CLOSED	6d90c192479956e4910d554d120f3a7e3ecc87562cf8d8a100bfa22a5774f0e2	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	Field and Form helper primitives belong to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-009	6842ec6b11c06c9b987b384b4abf7e9dc4699014
116	I_kwDOONYVBs8AAAABCgcVag	https://github.com/pdomain/pdomain-book-tools/issues/116	CLOSED	8670157e068204a516f64b57adb43837c842065b685410b4b3c37997ffebfcfb	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The curated Lucide re-export belongs to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-009	6842ec6b11c06c9b987b384b4abf7e9dc4699014
117	I_kwDOONYVBs8AAAABCgcViw	https://github.com/pdomain/pdomain-book-tools/issues/117	CLOSED	b34f769a7b61d501c0224636748e63653dcbd4b8680c21d6c46c6fde4346f6a2	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The bespoke OCR-domain SVG stubs belong to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-009	6842ec6b11c06c9b987b384b4abf7e9dc4699014
118	I_kwDOONYVBs8AAAABCgcVoA	https://github.com/pdomain/pdomain-book-tools/issues/118	CLOSED	0d565141d998dfa06e72b0f8c5368fda1b5f2741811c550b1a767b76403fad29	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The icons barrel and subpath export belong to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-009	6842ec6b11c06c9b987b384b4abf7e9dc4699014
119	I_kwDOONYVBs8AAAABCgcVug	https://github.com/pdomain/pdomain-book-tools/issues/119	CLOSED	b61fbf9726477000f6a6960027608465ea353e1645677d28529fb12d81afa666	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The pinned-wheel codegen fetch step belongs to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-010	6842ec6b11c06c9b987b384b4abf7e9dc4699014
120	I_kwDOONYVBs8AAAABCgcV1g	https://github.com/pdomain/pdomain-book-tools/issues/120	CLOSED	164b1bda932bf4d056e014c2594473ee02babc93941beb86f968058bd154b9f0	This ledger; immutable raw export; parent #78; `docs/architecture/ocr-model-and-schema-boundaries.md`; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	This library supplies `schemas.emit`, but the external `pd-ui` invocation and JSON output task is not implemented here	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-010	6842ec6b11c06c9b987b384b4abf7e9dc4699014
121	I_kwDOONYVBs8AAAABCgcV8A	https://github.com/pdomain/pdomain-book-tools/issues/121	CLOSED	ac80e19d55eec734e9efe6cb89e0cd01766872a59d2e329011fafeffee7af7a0	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	JSON Schema-to-TypeScript generation belongs to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-010	6842ec6b11c06c9b987b384b4abf7e9dc4699014
122	I_kwDOONYVBs8AAAABCgcWDA	https://github.com/pdomain/pdomain-book-tools/issues/122	CLOSED	7825c4d7490d896bbb6ba7137efe0fe91c692e0df42d2cefddfd512cd5e50e0a	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The codegen orchestrator and commit policy belong to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-010	6842ec6b11c06c9b987b384b4abf7e9dc4699014
123	I_kwDOONYVBs8AAAABCgcWKA	https://github.com/pdomain/pdomain-book-tools/issues/123	CLOSED	58d07e578b908ec3010fc270b4b8abdaad89c72f02482bd5dcfbd49af91a9b0b	This ledger; immutable raw export; parent #78; [`ConcaveTrillion/ocr-container-meta#12`](https://github.com/ConcaveTrillion/ocr-container-meta/issues/12)	The TypeScript types barrel and `*Like` reductions belong to the external `pd-ui` plan	Superseded by parent and meta-repository tracking; no local implementation claim	Deleted and verified; deletion journal completed-010	6842ec6b11c06c9b987b384b4abf7e9dc4699014
